Name,Powerstate,CPU,RAM,NICs,Disks,SpaceGB,OS
dca-pro1013,poweredOn,2,4,2,1,64,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1014,poweredOn,2,4,2,1,54,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1015,poweredOn,8,6,2,2,106,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1016,poweredOn,2,6,2,2,76,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1023,poweredOn,4,8,2,2,558,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1024,poweredOn,4,8,2,2,558,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1025,poweredOn,2,8,2,2,416,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1029,poweredOn,2,8,2,2,118,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1030,poweredOn,2,8,2,2,118,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1033,poweredOn,4,32,2,8,"2,417",Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1036,poweredOff,4,32,1,2,222,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1036b,poweredOn,4,32,1,2,222,Microsoft Windows Server 2012 (64-bit)
dca-pro1036-clone,poweredOff,4,32,1,2,222,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1037,poweredOff,8,32,1,2,322,
dca-pro1037-clone,poweredOff,8,32,1,2,322,Microsoft Windows Server 2012 (64-bit)
dca-pro1037d,poweredOn,8,32,1,2,322,Microsoft Windows Server 2012 (64-bit)
dca-pro1040,poweredOn,4,24,2,7,"2,642",Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1041,poweredOn,1,4,2,2,94,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1042,poweredOn,8,8,2,2,358,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1043,poweredOn,2,4,2,2,204,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1045,poweredOff,4,8,2,2,158,
dca-pro1046,poweredOff,2,4,2,2,104,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1047,poweredOn,6,10,2,6,650,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1052,poweredOff,4,8,0,0,9,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1053,poweredOff,4,8,0,0,9,
dca-pro1054,poweredOff,4,8,0,0,9,
dca-pro1055,poweredOff,4,8,0,0,9,
dca-pro1056,poweredOff,4,8,0,0,9,
dca-pro1057,poweredOn,8,32,2,2,582,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1059,poweredOn,4,16,2,2,166,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1060,poweredOn,4,16,2,2,166,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1061,poweredOn,4,8,2,2,158,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1062,poweredOn,4,8,2,2,158,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1064,poweredOn,4,8,2,2,158,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1065,poweredOn,4,8,2,2,158,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1067,poweredOn,4,16,2,2,316,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1069,poweredOn,1,4,2,2,104,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1070,poweredOn,1,8,2,2,108,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1076,poweredOn,2,8,2,2,108,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1079,poweredOn,4,8,2,2,158,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1083,poweredOn,4,8,2,4,518,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1086,poweredOn,8,12,2,5,682,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1087,poweredOn,8,12,2,2,112,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1088,poweredOn,8,12,2,2,112,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1090,poweredOn,2,6,2,6,621,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1094,poweredOn,2,4,2,2,104,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1096,poweredOn,2,8,2,2,108,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1097,poweredOn,2,8,2,2,108,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1100,poweredOn,4,16,2,2,166,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1101,poweredOn,2,32,2,2,582,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1102,poweredOn,1,16,2,6,206,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1113,poweredOn,2,6,2,2,96,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1114,poweredOn,2,6,2,6,376,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1115,poweredOn,4,16,2,2,316,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1125,poweredOn,2,8,2,6,"1,147",Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1127,poweredOn,2,8,1,2,98,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1128,poweredOn,4,8,2,2,68,Microsoft Windows Server 2012 (64-bit)
dca-pro1129,poweredOn,4,18,2,2,103,Microsoft Windows Server 2012 (64-bit)
dca-pro1135,poweredOn,8,8,2,6,668,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1136,poweredOn,4,8,2,3,388,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1140,poweredOn,4,8,1,2,268,Microsoft Windows Server 2012 (64-bit)
dca-pro1141,poweredOn,4,8,1,2,268,Microsoft Windows Server 2012 (64-bit)
dca-pro1143,poweredOn,2,8,1,6,608,Microsoft Windows Server 2012 (64-bit)
dca-pro1152,poweredOn,8,8,2,3,348,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1153,poweredOn,8,8,2,3,168,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1154,poweredOn,8,8,2,4,378,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1155,poweredOn,8,12,2,6,394,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1156,poweredOn,4,16,2,2,191,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1157,poweredOn,4,16,2,2,191,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1158,poweredOn,4,16,2,6,286,Microsoft Windows Server 2012 (64-bit)
dca-pro1160,poweredOn,4,8,2,4,298,Microsoft Windows Server 2012 (64-bit)
dca-pro1162,poweredOn,1,4,2,2,74,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1163,poweredOn,4,8,2,4,848,Microsoft Windows Server 2012 (64-bit)
dca-pro1164,poweredOff,4,8,1,2,118,
dca-pro1165,poweredOn,4,16,1,2,106,Microsoft Windows Server 2012 (64-bit)
dca-pro1166,poweredOn,4,8,2,2,240,Other 3.x or later Linux (64-bit)
dca-pro1168,poweredOn,4,32,1,2,152,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1169,poweredOn,4,8,1,2,123,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1170,poweredOn,2,8,1,2,196,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1171,poweredOn,4,16,1,2,166,Microsoft Windows Server 2012 (64-bit)
dca-pro1172,poweredOn,4,16,1,2,216,Microsoft Windows Server 2012 (64-bit)
dca-pro1173,poweredOn,4,8,1,2,158,Microsoft Windows Server 2012 (64-bit)
dca-pro1174,poweredOn,4,8,1,2,158,Microsoft Windows Server 2012 (64-bit)
dca-pro1175,poweredOn,4,16,1,6,796,Microsoft Windows Server 2012 (64-bit)
dca-pro1176,poweredOn,1,4,1,1,54,Microsoft Windows Server 2012 (64-bit)
dca-pro1177,poweredOn,4,8,1,3,"1,416",Microsoft Windows Server 2012 (64-bit)
dca-pro1178,poweredOn,4,8,1,2,108,Microsoft Windows Server 2012 (64-bit)
dca-pro1179,poweredOn,4,8,1,2,208,Microsoft Windows Server 2012 (64-bit)
dca-pro1180,poweredOn,4,8,1,2,108,Microsoft Windows Server 2012 (64-bit)
dca-pro1181,poweredOn,4,8,1,2,108,Microsoft Windows Server 2012 (64-bit)
dca-pro1182,poweredOn,8,32,1,12,"6,496",Microsoft Windows Server 2012 (64-bit)
dca-pro1183,poweredOn,4,16,1,6,736,Microsoft Windows Server 2012 (64-bit)
dca-pro1184,poweredOff,6,16,1,3,"1,240",Microsoft Windows Server 2012 (64-bit)
dca-pro1189,poweredOn,2,16,1,6,836,Microsoft Windows Server 2012 (64-bit)
dca-pro1192,poweredOff,6,16,0,0,17,Microsoft Windows Server 2012 (64-bit)
dca-pro1193,poweredOff,4,16,0,0,17,Microsoft Windows Server 2012 (64-bit)
dca-pro1194,poweredOff,4,16,0,0,17,Microsoft Windows Server 2012 (64-bit)
dca-pro1196,poweredOn,2,8,1,2,78,Microsoft Windows Server 2012 (64-bit)
dca-pro1197,poweredOn,2,8,1,2,78,Microsoft Windows Server 2012 (64-bit)
dca-pro1198,poweredOff,12,128,0,0,129,Microsoft Windows Server 2012 (64-bit)
dca-pro1201,poweredOff,2,4,0,0,5,Microsoft Windows Server 2012 (64-bit)
dca-pro1202,poweredOff,2,4,0,0,5,Microsoft Windows Server 2012 (64-bit)
dca-pro1205,poweredOff,2,8,2,2,108,
dca-pro1207,poweredOn,4,8,2,4,298,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1208,poweredOn,4,4,1,2,134,Microsoft Windows Server 2012 (64-bit)
dca-pro1209,poweredOn,2,16,1,2,366,Microsoft Windows Server 2012 (64-bit)
dca-pro1210,poweredOn,2,8,1,6,378,Microsoft Windows Server 2012 (64-bit)
dca-pro1212,poweredOn,4,8,1,3,128,Microsoft Windows Server 2012 (64-bit)
dca-pro1213,poweredOn,4,8,1,3,128,Microsoft Windows Server 2012 (64-bit)
dca-pro1214,poweredOn,4,8,1,4,628,Microsoft Windows Server 2012 (64-bit)
dca-pro1216,poweredOn,4,8,1,3,128,Microsoft Windows Server 2012 (64-bit)
dca-pro1217,poweredOn,4,16,1,2,191,Microsoft Windows Server 2012 (64-bit)
dca-pro1218,poweredOn,4,16,1,2,191,Microsoft Windows Server 2012 (64-bit)
dca-pro1219,poweredOn,4,16,1,2,191,Microsoft Windows Server 2012 (64-bit)
dca-pro1220,poweredOn,4,16,1,2,191,Microsoft Windows Server 2012 (64-bit)
dca-pro1229,poweredOn,2,16,1,2,616,Microsoft Windows Server 2012 (64-bit)
dca-pro1230,poweredOn,2,16,1,6,461,Microsoft Windows Server 2012 (64-bit)
dca-pro1237,poweredOn,2,8,1,2,208,Microsoft Windows Server 2012 (64-bit)
dca-pro1239,poweredOn,8,8,2,2,168,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1240,poweredOn,8,8,2,3,198,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1242,poweredOn,4,16,1,2,166,Microsoft Windows Server 2012 (64-bit)
dca-pro1244,poweredOn,4,8,1,2,158,Microsoft Windows Server 2012 (64-bit)
dca-pro1245,poweredOn,4,16,1,2,166,Microsoft Windows Server 2012 (64-bit)
dca-pro1247,poweredOn,4,8,1,2,158,Microsoft Windows Server 2012 (64-bit)
dca-pro1248,poweredOn,4,8,1,2,158,Microsoft Windows Server 2012 (64-bit)
dca-pro1250,poweredOn,4,8,1,2,158,Microsoft Windows Server 2012 (64-bit)
dca-pro1251,poweredOn,4,8,1,2,166,Microsoft Windows Server 2012 (64-bit)
dca-pro1253,poweredOn,4,8,1,2,118,Microsoft Windows Server 2012 (64-bit)
dca-pro1259,poweredOn,2,8,1,2,109,Microsoft Windows Server 2012 (64-bit)
dca-pro1260,poweredOn,2,8,1,2,127,Microsoft Windows Server 2012 (64-bit)
dca-pro1261,poweredOn,4,32,1,2,682,Microsoft Windows Server 2012 (64-bit)
dca-pro1262,poweredOn,4,32,1,2,682,Microsoft Windows Server 2012 (64-bit)
dca-pro1263,poweredOn,4,16,1,6,286,Microsoft Windows Server 2012 (64-bit)
dca-pro1269,poweredOn,2,8,1,2,208,Microsoft Windows Server 2012 (64-bit)
dca-pro1270,poweredOn,2,8,1,2,558,Microsoft Windows Server 2012 (64-bit)
dca-pro1271,poweredOn,2,8,1,2,558,Microsoft Windows Server 2012 (64-bit)
dca-pro1272,poweredOn,2,8,1,2,208,Microsoft Windows Server 2012 (64-bit)
dca-pro1275,poweredOn,4,8,1,2,158,Microsoft Windows Server 2012 (64-bit)
dca-pro1278,poweredOn,2,4,1,2,104,Microsoft Windows Server 2012 (64-bit)
dca-pro1279,poweredOn,64,48,1,2,198,Microsoft Windows Server 2012 (64-bit)
dca-pro1280,poweredOn,64,48,1,2,198,Microsoft Windows Server 2012 (64-bit)
dca-pro1283,poweredOn,2,8,2,2,118,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1284,poweredOn,2,8,2,2,118,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1285,poweredOn,2,8,2,2,118,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1286,poweredOn,2,8,1,6,328,Microsoft Windows Server 2012 (64-bit)
dca-pro1287,poweredOn,4,16,1,2,"1,090",Microsoft Windows Server 2012 (64-bit)
dca-pro1297,poweredOn,2,8,1,2,158,Microsoft Windows Server 2012 (64-bit)
dca-pro1298,poweredOn,4,8,1,6,423,Microsoft Windows Server 2012 (64-bit)
dca-pro1300,poweredOn,4,8,1,2,108,Microsoft Windows Server 2012 (64-bit)
dca-pro1302,poweredOn,6,64,1,2,514,Microsoft Windows Server 2012 (64-bit)
dca-pro1303,poweredOn,4,16,1,2,866,Microsoft Windows Server 2012 (64-bit)
dca-pro1304,poweredOn,4,8,1,2,121,Microsoft Windows Server 2012 (64-bit)
dca-pro1305,poweredOn,4,8,1,2,108,Microsoft Windows Server 2012 (64-bit)
dca-pro1322,poweredOn,8,8,1,2,109,Microsoft Windows Server 2012 (64-bit)
dca-pro1322-old,poweredOn,8,8,1,2,108,Microsoft Windows Server 2012 (64-bit)
dca-pro1326,poweredOn,4,32,2,2,206,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1327,poweredOn,4,32,2,2,206,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1328,poweredOn,8,48,2,2,222,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1329,poweredOn,8,48,2,2,222,Microsoft Windows Server 2008 R2 (64-bit)
dca-pro1334,poweredOn,4,8,1,2,158,Microsoft Windows Server 2012 (64-bit)
dca-pro1335,poweredOn,4,8,1,2,158,Microsoft Windows Server 2012 (64-bit)
dca-pro1338,poweredOn,4,8,1,1,158,Microsoft Windows Server 2012 (64-bit)
dca-pro1339,poweredOn,4,8,1,2,158,Microsoft Windows Server 2012 (64-bit)
dca-pro1345,poweredOn,6,16,1,2,416,Microsoft Windows Server 2012 (64-bit)
dca-pro1347,poweredOn,2,16,1,2,126,Microsoft Windows Server 2012 (64-bit)
dca-pro1348,poweredOn,2,8,1,2,118,Microsoft Windows Server 2012 (64-bit)
dca-pro1350,poweredOn,2,4,1,2,109,Microsoft Windows Server 2012 (64-bit)
dca-pro1352,poweredOn,4,16,1,2,116,Microsoft Windows Server 2012 (64-bit)
dca-pro1353,poweredOn,8,12,1,2,112,Microsoft Windows Server 2012 (64-bit)
dca-pro1354,poweredOn,8,12,1,2,112,Microsoft Windows Server 2012 (64-bit)
dca-pro1355,poweredOn,8,14,1,2,314,Microsoft Windows Server 2012 (64-bit)
dca-pro1356,poweredOn,8,14,1,2,314,Microsoft Windows Server 2012 (64-bit)
dca-pro1357,poweredOn,4,16,1,6,876,Microsoft Windows Server 2012 (64-bit)
dca-pro1358,poweredOn,2,16,1,2,116,Microsoft Windows Server 2012 (64-bit)
dca-pro1359,poweredOff,4,16,0,0,17,Microsoft Windows Server 2012 (64-bit)
dca-pro1360,poweredOn,2,4,1,2,154,Microsoft Windows Server 2012 (64-bit)
dca-pro1363,poweredOn,2,8,1,4,"5,945",Microsoft Windows Server 2012 (64-bit)
dca-pro1365,poweredOn,4,16,1,2,196,Microsoft Windows Server 2012 (64-bit)
dca-pro1368,poweredOn,2,8,1,2,208,Microsoft Windows Server 2012 (64-bit)
dca-pro1369,poweredOn,4,8,1,2,208,Microsoft Windows Server 2012 (64-bit)
dca-pro1370,poweredOn,4,8,1,2,208,Microsoft Windows Server 2012 (64-bit)
dca-pro1371,poweredOn,4,16,1,6,446,Microsoft Windows Server 2012 (64-bit)
dca-pro1372,poweredOn,6,16,1,6,"2,306",Microsoft Windows Server 2012 (64-bit)
dca-pro1374,poweredOn,1,16,1,2,116,Microsoft Windows Server 2012 (64-bit)
dca-pro1376,poweredOn,4,8,1,2,258,Microsoft Windows Server 2012 (64-bit)
dca-pro1377,poweredOn,4,8,1,2,258,Microsoft Windows Server 2012 (64-bit)
dca-pro1378,poweredOn,2,6,1,6,256,Microsoft Windows Server 2012 (64-bit)
dca-pro1380,poweredOn,8,8,1,2,108,Microsoft Windows Server 2012 (64-bit)
dca-pro1381,poweredOn,4,8,1,2,158,Microsoft Windows Server 2012 (64-bit)
dca-pro1382,poweredOn,4,16,1,2,"1,266",Microsoft Windows Server 2012 (64-bit)
dca-pro1386,poweredOn,4,32,1,2,282,Microsoft Windows Server 2012 (64-bit)
dca-pro1387,poweredOn,4,32,1,2,282,Microsoft Windows Server 2012 (64-bit)
dca-pro1388,poweredOn,4,32,1,2,282,Microsoft Windows Server 2012 (64-bit)
dca-pro1392,poweredOn,2,8,1,2,258,Microsoft Windows Server 2012 (64-bit)
dca-pro1396,poweredOn,2,8,1,2,108,Microsoft Windows Server 2012 (64-bit)
dca-pro1397,poweredOn,4,8,1,2,108,Microsoft Windows Server 2012 (64-bit)
dca-pro1398,poweredOn,6,32,1,6,"1,152",Microsoft Windows Server 2012 (64-bit)
dca-pro1399,poweredOn,2,8,1,2,108,Microsoft Windows Server 2012 (64-bit)
dca-pro1400,poweredOn,2,8,1,6,578,Microsoft Windows Server 2012 (64-bit)
dca-pro1407,poweredOn,1,16,1,2,166,Microsoft Windows Server 2012 (64-bit)
dca-pro1408,poweredOn,4,16,1,2,166,Microsoft Windows Server 2012 (64-bit)
dca-pro1409,poweredOn,2,8,1,6,558,Microsoft Windows Server 2012 (64-bit)
dca-pro1411,poweredOn,8,32,1,2,"1,142",Microsoft Windows Server 2012 (64-bit)
dca-pro1414,poweredOn,1,4,1,2,254,Microsoft Windows Server 2012 (64-bit)
dca-pro1415,poweredOn,2,12,1,2,112,Microsoft Windows Server 2012 (64-bit)
dca-pro1416,poweredOn,2,8,1,2,158,Microsoft Windows Server 2012 (64-bit)
dca-pro1418,poweredOn,4,8,1,2,73,Microsoft Windows Server 2012 (64-bit)
dca-pro1421,poweredOn,2,8,1,6,812,Microsoft Windows Server 2012 (64-bit)
dca-pro1423,poweredOn,8,32,1,2,582,Microsoft Windows Server 2012 (64-bit)
dca-pro1424,poweredOn,2,8,1,2,308,Microsoft Windows Server 2012 (64-bit)
dca-pro1425,poweredOn,2,8,1,6,298,Microsoft Windows Server 2012 (64-bit)
dca-pro1426,poweredOn,4,14,1,2,194,Microsoft Windows Server 2012 (64-bit)
dca-pro1427,poweredOn,2,4,1,2,64,Microsoft Windows Server 2012 (64-bit)
dca-pro1429,poweredOn,4,16,1,2,186,Microsoft Windows Server 2012 (64-bit)
dca-pro1435,poweredOn,2,16,1,2,116,Microsoft Windows Server 2012 (64-bit)
dca-pro1439,poweredOn,2,6,1,6,345,Microsoft Windows Server 2012 (64-bit)
dca-pro1441,poweredOn,2,8,1,2,88,Microsoft Windows Server 2012 (64-bit)
dca-pro1442,poweredOn,12,32,1,6,"2,406",Microsoft Windows Server 2012 (64-bit)
dca-pro1445,poweredOn,2,4,1,2,104,Microsoft Windows Server 2012 (64-bit)
dca-pro1448,poweredOn,8,32,1,6,"2,666",Microsoft Windows Server 2012 (64-bit)
dca-pro1450,poweredOn,2,4,1,2,254,Microsoft Windows Server 2012 (64-bit)
dca-pro1451,poweredOn,4,16,1,2,86,Microsoft Windows Server 2012 (64-bit)
dca-pro1452,poweredOn,2,4,1,2,94,Microsoft Windows Server 2012 (64-bit)
dca-pro1453,poweredOn,4,16,1,2,166,Microsoft Windows Server 2012 (64-bit)
dca-pro1454,poweredOn,4,16,1,2,366,Microsoft Windows Server 2012 (64-bit)
dca-pro1456,poweredOn,2,8,1,2,308,Microsoft Windows Server 2012 (64-bit)
dca-pro1457,poweredOn,8,64,1,2,314,Microsoft Windows Server 2012 (64-bit)
dca-pro1458,poweredOn,8,64,1,6,"11,534",Microsoft Windows Server 2012 (64-bit)
dca-pro1459,poweredOn,8,64,1,5,"9,486",
dca-pro1460,poweredOn,8,64,1,5,"6,414",Microsoft Windows Server 2012 (64-bit)
dca-pro1461,poweredOn,12,200,1,6,870,Microsoft Windows Server 2012 (64-bit)
dca-pro1468,poweredOn,8,64,1,5,"2,414",
dca-pro1469,poweredOn,8,64,1,5,"2,414",
dca-pro1470,poweredOn,4,8,1,2,108,
dca-pro1472,poweredOn,4,16,1,2,166,Microsoft Windows Server 2012 (64-bit)
dca-pro1473,poweredOn,2,8,1,2,88,Microsoft Windows Server 2012 (64-bit)
dca-pro1476,poweredOn,6,16,1,3,586,Microsoft Windows Server 2012 (64-bit)
dca-pro1477,poweredOn,4,16,1,1,66,Microsoft Windows Server 2012 (64-bit)
dca-pro1478,poweredOn,4,16,1,1,66,Microsoft Windows Server 2012 (64-bit)
